dataset,polluter,level,method,model,score,task,dsc_score
sst5,noise_injection_text,0.75,probe,ridge,0.0,regression,74.51333333333334
sst5,noise_injection_text,0.75,probe,random_forest,0.0,regression,74.51333333333334
sst5,noise_injection_text,0.75,probe,mlp,0.0,regression,74.51333333333334
sst5,noise_injection_text,0.75,probe,knn,0.0,regression,74.51333333333334
sst5,noise_injection_text,0.9,probe,ridge,0.0,regression,73.79666666666667
sst5,noise_injection_text,0.9,probe,random_forest,0.0,regression,73.79666666666667
sst5,noise_injection_text,0.9,probe,mlp,0.0,regression,73.79666666666667
sst5,noise_injection_text,0.9,probe,knn,0.0,regression,73.79666666666667
sst5,word_shuffle,0.1,probe,ridge,0.0,regression,76.48666666666666
sst5,word_shuffle,0.1,probe,random_forest,0.3372,regression,76.48666666666666
sst5,word_shuffle,0.1,probe,mlp,0.0,regression,76.48666666666666
sst5,word_shuffle,0.1,probe,knn,0.2788,regression,76.48666666666666
sst5,word_shuffle,0.25,probe,ridge,0.0,regression,76.29
sst5,word_shuffle,0.25,probe,random_forest,0.2672,regression,76.29
sst5,word_shuffle,0.25,probe,mlp,0.0,regression,76.29
sst5,word_shuffle,0.25,probe,knn,0.2599,regression,76.29
sst5,word_shuffle,0.5,probe,ridge,0.0,regression,75.97333333333334
sst5,word_shuffle,0.5,probe,random_forest,0.2567,regression,75.97333333333334
sst5,word_shuffle,0.5,probe,mlp,0.0,regression,75.97333333333334
sst5,word_shuffle,0.5,probe,knn,0.1954,regression,75.97333333333334
sst5,word_shuffle,0.75,probe,ridge,0.0,regression,76.29
sst5,word_shuffle,0.75,probe,random_forest,0.2264,regression,76.29
sst5,word_shuffle,0.75,probe,mlp,0.0,regression,76.29
sst5,word_shuffle,0.75,probe,knn,0.2444,regression,76.29
sst5,word_shuffle,0.9,probe,ridge,0.0,regression,76.04666666666667
sst5,word_shuffle,0.9,probe,random_forest,0.2804,regression,76.04666666666667
sst5,word_shuffle,0.9,probe,mlp,0.0,regression,76.04666666666667
sst5,word_shuffle,0.9,probe,knn,0.2166,regression,76.04666666666667
sst5,target_distribution_skew,0.1,probe,ridge,0.0,regression,76.96333333333332
sst5,target_distribution_skew,0.1,probe,random_forest,0.3582,regression,76.96333333333332
sst5,target_distribution_skew,0.1,probe,mlp,0.1394,regression,76.96333333333332
sst5,target_distribution_skew,0.1,probe,knn,0.2753,regression,76.96333333333332
sst5,target_distribution_skew,0.25,probe,ridge,0.0,regression,77.09666666666666
sst5,target_distribution_skew,0.25,probe,random_forest,0.3478,regression,77.09666666666666
sst5,target_distribution_skew,0.25,probe,mlp,0.1247,regression,77.09666666666666
sst5,target_distribution_skew,0.25,probe,knn,0.2692,regression,77.09666666666666
sst5,target_distribution_skew,0.5,probe,ridge,0.0,regression,77.67333333333333
sst5,target_distribution_skew,0.5,probe,random_forest,0.3,regression,77.67333333333333
sst5,target_distribution_skew,0.5,probe,mlp,0.0848,regression,77.67333333333333
sst5,target_distribution_skew,0.5,probe,knn,0.2142,regression,77.67333333333333
sst5,target_distribution_skew,0.75,probe,ridge,0.0,regression,76.67999999999999
sst5,target_distribution_skew,0.75,probe,random_forest,0.1814,regression,76.67999999999999
sst5,target_distribution_skew,0.75,probe,mlp,0.0474,regression,76.67999999999999
sst5,target_distribution_skew,0.75,probe,knn,0.0343,regression,76.67999999999999
sst5,target_distribution_skew,0.9,probe,ridge,0.0,regression,75.52999999999999
sst5,target_distribution_skew,0.9,probe,random_forest,0.0584,regression,75.52999999999999
sst5,target_distribution_skew,0.9,probe,mlp,0.0,regression,75.52999999999999
sst5,target_distribution_skew,0.9,probe,knn,0.0,regression,75.52999999999999
sst5,target_noise,0.1,probe,ridge,0.0,regression,79.73666666666666
sst5,target_noise,0.1,probe,random_forest,0.3633,regression,79.73666666666666
sst5,target_noise,0.1,probe,mlp,0.0858,regression,79.73666666666666
sst5,target_noise,0.1,probe,knn,0.2896,regression,79.73666666666666
sst5,target_noise,0.25,probe,ridge,0.0,regression,79.10666666666667
sst5,target_noise,0.25,probe,random_forest,0.3746,regression,79.10666666666667
sst5,target_noise,0.25,probe,mlp,0.0464,regression,79.10666666666667
sst5,target_noise,0.25,probe,knn,0.2707,regression,79.10666666666667
sst5,target_noise,0.5,probe,ridge,0.0,regression,78.33666666666666
sst5,target_noise,0.5,probe,random_forest,0.3386,regression,78.33666666666666
sst5,target_noise,0.5,probe,mlp,0.0,regression,78.33666666666666
sst5,target_noise,0.5,probe,knn,0.2192,regression,78.33666666666666
sst5,target_noise,0.75,probe,ridge,0.0,regression,77.86666666666667
sst5,target_noise,0.75,probe,random_forest,0.3502,regression,77.86666666666667
sst5,target_noise,0.75,probe,mlp,0.0,regression,77.86666666666667
sst5,target_noise,0.75,probe,knn,0.1429,regression,77.86666666666667
sst5,target_noise,0.9,probe,ridge,0.0,regression,77.65
sst5,target_noise,0.9,probe,random_forest,0.3193,regression,77.65
sst5,target_noise,0.9,probe,mlp,0.0,regression,77.65
sst5,target_noise,0.9,probe,knn,0.0852,regression,77.65
