dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
SouthGermanCredit,completeness,0.75,SVC,0.64,0.6338,0.7793,51.65,D,0.25,0.9938,1.0,1.0,0.7367,0.6,1.0,0.0329,0.1404
SouthGermanCredit,completeness,0.75,XGBoost,0.665,0.6135,0.6846,51.65,D,0.25,0.9938,1.0,1.0,0.7367,0.6,1.0,0.0329,0.1404
SouthGermanCredit,completeness,0.9,LogisticRegression,0.735,0.6443,0.7327,44.27,D,0.1,0.7188,1.0,1.0,0.6938,0.6,1.0,0.0,0.2019
SouthGermanCredit,completeness,0.9,MLP,0.7,0.4118,0.5058,44.27,D,0.1,0.7188,1.0,1.0,0.6938,0.6,1.0,0.0,0.2019
SouthGermanCredit,completeness,0.9,RandomForest,0.715,0.5742,0.7065,44.27,D,0.1,0.7188,1.0,1.0,0.6938,0.6,1.0,0.0,0.2019
SouthGermanCredit,completeness,0.9,SVC,0.68,0.6528,0.743,44.27,D,0.1,0.7188,1.0,1.0,0.6938,0.6,1.0,0.0,0.2019
SouthGermanCredit,completeness,0.9,XGBoost,0.585,0.5212,0.5806,44.27,D,0.1,0.7188,1.0,1.0,0.6938,0.6,1.0,0.0,0.2019
SouthGermanCredit,completeness,0.95,LogisticRegression,0.75,0.5766,0.724,38.46,D,0.05,0.4125,1.0,1.0,0.68,0.6,1.0,0.0,0.1876
SouthGermanCredit,completeness,0.95,MLP,0.705,0.5515,0.6496,38.46,D,0.05,0.4125,1.0,1.0,0.68,0.6,1.0,0.0,0.1876
SouthGermanCredit,completeness,0.95,RandomForest,0.715,0.463,0.6666,38.46,D,0.05,0.4125,1.0,1.0,0.68,0.6,1.0,0.0,0.1876
SouthGermanCredit,completeness,0.95,SVC,0.7,0.4118,0.2745,38.46,D,0.05,0.4125,1.0,1.0,0.68,0.6,1.0,0.0,0.1876
