dataset,polluter,level,model,accuracy,f1_macro,auc_roc
SouthGermanCredit,feature_accuracy,0.25,RandomForest,0.72,0.5357,0.7607
SouthGermanCredit,feature_accuracy,0.25,XGBoost,0.735,0.6287,0.7542
SouthGermanCredit,feature_accuracy,0.25,SVC,0.715,0.5946,0.7717
SouthGermanCredit,feature_accuracy,0.25,MLP,0.705,0.6236,0.7174
SouthGermanCredit,feature_accuracy,0.5,LogisticRegression,0.75,0.5939,0.7698
SouthGermanCredit,feature_accuracy,0.5,RandomForest,0.695,0.41,0.7158
SouthGermanCredit,feature_accuracy,0.5,XGBoost,0.695,0.552,0.7263
SouthGermanCredit,feature_accuracy,0.5,SVC,0.7,0.4118,0.7685
SouthGermanCredit,feature_accuracy,0.5,MLP,0.695,0.5444,0.6952
SouthGermanCredit,feature_accuracy,0.75,LogisticRegression,0.685,0.4353,0.5762
SouthGermanCredit,feature_accuracy,0.75,RandomForest,0.685,0.4065,0.568
SouthGermanCredit,feature_accuracy,0.75,XGBoost,0.65,0.4072,0.5092
SouthGermanCredit,feature_accuracy,0.75,SVC,0.7,0.4118,0.429
SouthGermanCredit,feature_accuracy,0.75,MLP,0.64,0.4478,0.4586
SouthGermanCredit,uniqueness,0.1,LogisticRegression,0.755,0.691,0.7868
SouthGermanCredit,uniqueness,0.1,RandomForest,0.775,0.6799,0.7995
SouthGermanCredit,uniqueness,0.1,XGBoost,0.81,0.759,0.813
SouthGermanCredit,uniqueness,0.1,SVC,0.77,0.7083,0.7738
SouthGermanCredit,uniqueness,0.1,MLP,0.775,0.7254,0.7585
SouthGermanCredit,uniqueness,0.25,LogisticRegression,0.755,0.6945,0.7821
SouthGermanCredit,uniqueness,0.25,RandomForest,0.795,0.7285,0.7998
SouthGermanCredit,uniqueness,0.25,XGBoost,0.8,0.7433,0.7829
SouthGermanCredit,uniqueness,0.25,SVC,0.755,0.6978,0.7707
SouthGermanCredit,uniqueness,0.25,MLP,0.735,0.6732,0.7454
SouthGermanCredit,uniqueness,0.5,LogisticRegression,0.75,0.69,0.7827
SouthGermanCredit,uniqueness,0.5,RandomForest,0.77,0.6891,0.7986
SouthGermanCredit,uniqueness,0.5,XGBoost,0.77,0.7148,0.7894
SouthGermanCredit,uniqueness,0.5,SVC,0.735,0.6766,0.771
SouthGermanCredit,uniqueness,0.5,MLP,0.74,0.6776,0.7414
SouthGermanCredit,uniqueness,0.75,LogisticRegression,0.755,0.6945,0.7869
SouthGermanCredit,uniqueness,0.75,RandomForest,0.775,0.6848,0.8015
SouthGermanCredit,uniqueness,0.75,XGBoost,0.78,0.7105,0.799
SouthGermanCredit,uniqueness,0.75,SVC,0.725,0.6608,0.7682
SouthGermanCredit,uniqueness,0.75,MLP,0.735,0.6766,0.739
letter,class_balance,0.1,LogisticRegression,0.7678,0.7666,0.9773
letter,class_balance,0.1,RandomForest,0.9327,0.9324,0.9984
letter,class_balance,0.1,XGBoost,0.932,0.9319,0.9987
letter,class_balance,0.1,SVC,0.8387,0.8384,0.992
letter,class_balance,0.1,MLP,0.938,0.9378,0.9989
letter,class_balance,0.25,LogisticRegression,0.7675,0.7653,0.9772
letter,class_balance,0.25,RandomForest,0.9303,0.93,0.9984
letter,class_balance,0.25,XGBoost,0.9267,0.9264,0.9985
letter,class_balance,0.25,SVC,0.8373,0.8368,0.992
letter,class_balance,0.25,MLP,0.941,0.9405,0.9989
letter,class_balance,0.5,LogisticRegression,0.7602,0.7562,0.9771
letter,class_balance,0.5,RandomForest,0.9247,0.9242,0.9978
letter,class_balance,0.5,XGBoost,0.924,0.9233,0.9983
letter,class_balance,0.5,SVC,0.8325,0.8313,0.9918
letter,class_balance,0.5,MLP,0.9195,0.9191,0.9984
letter,class_balance,0.75,LogisticRegression,0.7462,0.738,0.9762
letter,class_balance,0.75,RandomForest,0.9163,0.915,0.9962
letter,class_balance,0.75,XGBoost,0.9165,0.915,0.9976
letter,class_balance,0.75,SVC,0.8273,0.825,0.9909
letter,class_balance,0.75,MLP,0.9243,0.9227,0.9981
letter,completeness,0.1,LogisticRegression,0.646,0.6415,0.9521
letter,completeness,0.1,RandomForest,0.935,0.935,0.9987
letter,completeness,0.1,XGBoost,0.9455,0.9453,0.9992
letter,completeness,0.1,SVC,0.6895,0.6899,0.9609
letter,completeness,0.1,MLP,0.9275,0.9274,0.9982
letter,completeness,0.25,LogisticRegression,0.5343,0.5208,0.9299
letter,completeness,0.25,RandomForest,0.8975,0.8981,0.9961
letter,completeness,0.25,XGBoost,0.9243,0.9241,0.9987
letter,completeness,0.25,SVC,0.5625,0.5567,0.9324
letter,completeness,0.25,MLP,0.8702,0.8696,0.9958
letter,completeness,0.5,LogisticRegression,0.327,0.2927,0.9065
letter,completeness,0.5,RandomForest,0.8137,0.8153,0.9854
letter,completeness,0.5,XGBoost,0.8625,0.8635,0.9957
letter,completeness,0.5,SVC,0.3235,0.2873,0.9049
letter,completeness,0.5,MLP,0.6827,0.6885,0.9726
letter,completeness,0.75,LogisticRegression,0.202,0.1278,0.8846
letter,completeness,0.75,RandomForest,0.6693,0.6741,0.952
letter,completeness,0.75,XGBoost,0.7025,0.7057,0.977
letter,completeness,0.75,SVC,0.1445,0.0685,0.8731
letter,completeness,0.75,MLP,0.2575,0.2164,0.8625
letter,feature_accuracy,0.1,LogisticRegression,0.758,0.7582,0.9763
letter,feature_accuracy,0.1,RandomForest,0.9223,0.9226,0.9982
letter,feature_accuracy,0.1,XGBoost,0.9325,0.9325,0.9989
letter,feature_accuracy,0.1,SVC,0.8225,0.8229,0.9907
letter,feature_accuracy,0.1,MLP,0.938,0.9379,0.9993
letter,feature_accuracy,0.25,LogisticRegression,0.715,0.7157,0.964
letter,feature_accuracy,0.25,RandomForest,0.8093,0.8127,0.9889
letter,feature_accuracy,0.25,XGBoost,0.8177,0.8203,0.9932
letter,feature_accuracy,0.25,SVC,0.755,0.7581,0.9767
letter,feature_accuracy,0.25,MLP,0.8265,0.8275,0.9932
letter,feature_accuracy,0.5,LogisticRegression,0.649,0.6444,0.9411
letter,feature_accuracy,0.5,RandomForest,0.624,0.6296,0.9472
letter,feature_accuracy,0.5,XGBoost,0.599,0.604,0.9614
letter,feature_accuracy,0.5,SVC,0.6753,0.6763,0.9481
letter,feature_accuracy,0.5,MLP,0.5082,0.5132,0.9343
letter,feature_accuracy,0.75,LogisticRegression,0.6118,0.6039,0.9221
letter,feature_accuracy,0.75,RandomForest,0.4607,0.4619,0.8742
letter,feature_accuracy,0.75,XGBoost,0.4138,0.4223,0.9037
letter,feature_accuracy,0.75,SVC,0.633,0.633,0.9258
letter,feature_accuracy,0.75,MLP,0.2702,0.2771,0.8239
letter,uniqueness,0.1,LogisticRegression,0.768,0.7668,0.9787
letter,uniqueness,0.1,RandomForest,0.961,0.9609,0.9995
letter,uniqueness,0.1,XGBoost,0.9593,0.9592,0.9996
letter,uniqueness,0.1,SVC,0.8448,0.8441,0.9934
letter,uniqueness,0.1,MLP,0.9555,0.9554,0.9995
letter,uniqueness,0.25,LogisticRegression,0.7665,0.7654,0.9789
letter,uniqueness,0.25,RandomForest,0.9635,0.9633,0.9994
letter,uniqueness,0.25,XGBoost,0.9585,0.9585,0.9996
letter,uniqueness,0.25,SVC,0.8458,0.8449,0.9932
letter,uniqueness,0.25,MLP,0.9593,0.9591,0.9996
letter,uniqueness,0.5,LogisticRegression,0.7665,0.7652,0.9788
letter,uniqueness,0.5,RandomForest,0.9635,0.9634,0.9996
letter,uniqueness,0.5,XGBoost,0.9613,0.9612,0.9996
letter,uniqueness,0.5,SVC,0.841,0.8404,0.9932
letter,uniqueness,0.5,MLP,0.9557,0.9556,0.9993
letter,uniqueness,0.75,LogisticRegression,0.7665,0.7651,0.9787
letter,uniqueness,0.75,RandomForest,0.9645,0.9644,0.9995
letter,uniqueness,0.75,XGBoost,0.963,0.9629,0.9996
letter,uniqueness,0.75,SVC,0.8468,0.8461,0.9932
letter,uniqueness,0.75,MLP,0.9627,0.9625,0.9994
