dataset,polluter,level,method,model,score,task
20news,word_shuffle,0.25,probe,mlp,0.4099,classification
20news,word_shuffle,0.25,probe,knn,0.3491,classification
20news,word_shuffle,0.5,probe,logreg,0.3972,classification
20news,word_shuffle,0.5,probe,random_forest,0.309,classification
20news,word_shuffle,0.5,probe,mlp,0.3967,classification
20news,word_shuffle,0.5,probe,knn,0.3499,classification
20news,word_shuffle,0.75,probe,logreg,0.423,classification
20news,word_shuffle,0.75,probe,random_forest,0.274,classification
20news,word_shuffle,0.75,probe,mlp,0.3919,classification
20news,word_shuffle,0.75,probe,knn,0.3545,classification
20news,word_shuffle,0.9,probe,logreg,0.3537,classification
20news,word_shuffle,0.9,probe,random_forest,0.2523,classification
20news,word_shuffle,0.9,probe,mlp,0.348,classification
20news,word_shuffle,0.9,probe,knn,0.3495,classification
20news,class_balance,0.1,probe,logreg,0.5225,classification
20news,class_balance,0.1,probe,random_forest,0.423,classification
20news,class_balance,0.1,probe,mlp,0.4553,classification
20news,class_balance,0.1,probe,knn,0.338,classification
20news,class_balance,0.25,probe,logreg,0.5225,classification
20news,class_balance,0.25,probe,random_forest,0.423,classification
20news,class_balance,0.25,probe,mlp,0.4553,classification
20news,class_balance,0.25,probe,knn,0.338,classification
20news,class_balance,0.5,probe,logreg,0.5,classification
20news,class_balance,0.5,probe,random_forest,0.3526,classification
20news,class_balance,0.5,probe,mlp,0.4705,classification
20news,class_balance,0.5,probe,knn,0.3246,classification
20news,class_balance,0.75,probe,logreg,0.5,classification
20news,class_balance,0.75,probe,random_forest,0.3526,classification
20news,class_balance,0.75,probe,mlp,0.4705,classification
20news,class_balance,0.75,probe,knn,0.3246,classification
20news,class_balance,0.9,probe,logreg,0.5,classification
20news,class_balance,0.9,probe,random_forest,0.3526,classification
20news,class_balance,0.9,probe,mlp,0.4705,classification
20news,class_balance,0.9,probe,knn,0.3246,classification
20news,label_swap,0.1,probe,logreg,0.4403,classification
20news,label_swap,0.1,probe,random_forest,0.3801,classification
20news,label_swap,0.1,probe,mlp,0.4657,classification
20news,label_swap,0.1,probe,knn,0.4157,classification
20news,label_swap,0.25,probe,logreg,0.4155,classification
20news,label_swap,0.25,probe,random_forest,0.4042,classification
20news,label_swap,0.25,probe,mlp,0.4232,classification
20news,label_swap,0.25,probe,knn,0.3856,classification
20news,label_swap,0.5,probe,logreg,0.2706,classification
20news,label_swap,0.5,probe,random_forest,0.293,classification
20news,label_swap,0.5,probe,mlp,0.2527,classification
20news,label_swap,0.5,probe,knn,0.3142,classification
20news,label_swap,0.75,probe,logreg,0.1087,classification
20news,label_swap,0.75,probe,random_forest,0.1506,classification
20news,label_swap,0.75,probe,mlp,0.1036,classification
20news,label_swap,0.75,probe,knn,0.1291,classification
20news,label_swap,0.9,probe,logreg,0.0859,classification
20news,label_swap,0.9,probe,random_forest,0.0761,classification
20news,label_swap,0.9,probe,mlp,0.0669,classification
20news,label_swap,0.9,probe,knn,0.0585,classification
yelp_full,none,0.0,probe,ridge,0.0,regression
yelp_full,none,0.0,probe,random_forest,0.5666,regression
yelp_full,none,0.0,probe,mlp,0.451,regression
yelp_full,none,0.0,probe,knn,0.5139,regression
yelp_full,completeness_text,0.1,probe,ridge,0.0,regression
yelp_full,completeness_text,0.1,probe,random_forest,0.4843,regression
yelp_full,completeness_text,0.1,probe,mlp,0.1887,regression
yelp_full,completeness_text,0.1,probe,knn,0.4842,regression
yelp_full,completeness_text,0.25,probe,ridge,0.0,regression
yelp_full,completeness_text,0.25,probe,random_forest,0.3453,regression
yelp_full,completeness_text,0.25,probe,mlp,0.0582,regression
yelp_full,completeness_text,0.25,probe,knn,0.4369,regression
yelp_full,completeness_text,0.5,probe,ridge,0.0,regression
yelp_full,completeness_text,0.5,probe,random_forest,0.1381,regression
yelp_full,completeness_text,0.5,probe,mlp,0.0,regression
yelp_full,completeness_text,0.5,probe,knn,0.2254,regression
yelp_full,completeness_text,0.75,probe,ridge,0.0,regression
yelp_full,completeness_text,0.75,probe,random_forest,0.0178,regression
yelp_full,completeness_text,0.75,probe,mlp,0.0,regression
yelp_full,completeness_text,0.75,probe,knn,0.0,regression
yelp_full,completeness_text,0.9,probe,ridge,0.0,regression
