dataset,polluter,level,method,model,score,task,dsc_score
imdb,noise_injection_text,0.25,probe,random_forest,0.4182,classification,76.78333333333333
imdb,noise_injection_text,0.25,probe,mlp,0.6484,classification,76.78333333333333
imdb,noise_injection_text,0.25,probe,knn,0.6055,classification,76.78333333333333
imdb,noise_injection_text,0.5,probe,logreg,0.3475,classification,76.52333333333333
imdb,noise_injection_text,0.5,probe,random_forest,0.5209,classification,76.52333333333333
imdb,noise_injection_text,0.5,probe,mlp,0.59,classification,76.52333333333333
imdb,noise_injection_text,0.5,probe,knn,0.5115,classification,76.52333333333333
imdb,noise_injection_text,0.75,probe,logreg,0.5109,classification,76.09
imdb,noise_injection_text,0.75,probe,random_forest,0.4335,classification,76.09
imdb,noise_injection_text,0.75,probe,mlp,0.3225,classification,76.09
imdb,noise_injection_text,0.75,probe,knn,0.4708,classification,76.09
imdb,noise_injection_text,0.9,probe,logreg,0.3394,classification,76.02999999999999
imdb,noise_injection_text,0.9,probe,random_forest,0.4818,classification,76.02999999999999
imdb,noise_injection_text,0.9,probe,mlp,0.3291,classification,76.02999999999999
imdb,noise_injection_text,0.9,probe,knn,0.3432,classification,76.02999999999999
imdb,word_shuffle,0.1,probe,logreg,0.7246,classification,80.87333333333333
imdb,word_shuffle,0.1,probe,random_forest,0.7412,classification,80.87333333333333
imdb,word_shuffle,0.1,probe,mlp,0.7897,classification,80.87333333333333
imdb,word_shuffle,0.1,probe,knn,0.6337,classification,80.87333333333333
imdb,word_shuffle,0.25,probe,logreg,0.7919,classification,80.39999999999999
imdb,word_shuffle,0.25,probe,random_forest,0.6315,classification,80.39999999999999
imdb,word_shuffle,0.25,probe,mlp,0.804,classification,80.39999999999999
imdb,word_shuffle,0.25,probe,knn,0.5909,classification,80.39999999999999
imdb,word_shuffle,0.5,probe,logreg,0.7388,classification,80.03333333333335
imdb,word_shuffle,0.5,probe,random_forest,0.5977,classification,80.03333333333335
imdb,word_shuffle,0.5,probe,mlp,0.784,classification,80.03333333333335
imdb,word_shuffle,0.5,probe,knn,0.4817,classification,80.03333333333335
imdb,word_shuffle,0.75,probe,logreg,0.7658,classification,79.91666666666667
imdb,word_shuffle,0.75,probe,random_forest,0.6177,classification,79.91666666666667
imdb,word_shuffle,0.75,probe,mlp,0.7746,classification,79.91666666666667
imdb,word_shuffle,0.75,probe,knn,0.6196,classification,79.91666666666667
imdb,word_shuffle,0.9,probe,logreg,0.7999,classification,80.01333333333334
imdb,word_shuffle,0.9,probe,random_forest,0.6186,classification,80.01333333333334
imdb,word_shuffle,0.9,probe,mlp,0.7543,classification,80.01333333333334
imdb,word_shuffle,0.9,probe,knn,0.4969,classification,80.01333333333334
imdb,class_balance,0.1,probe,logreg,0.7995,classification,80.12666666666667
imdb,class_balance,0.1,probe,random_forest,0.7616,classification,80.12666666666667
imdb,class_balance,0.1,probe,mlp,0.8277,classification,80.12666666666667
imdb,class_balance,0.1,probe,knn,0.6098,classification,80.12666666666667
imdb,class_balance,0.25,probe,logreg,0.8231,classification,79.51666666666667
imdb,class_balance,0.25,probe,random_forest,0.7324,classification,79.51666666666667
imdb,class_balance,0.25,probe,mlp,0.8392,classification,79.51666666666667
imdb,class_balance,0.25,probe,knn,0.5221,classification,79.51666666666667
imdb,class_balance,0.5,probe,logreg,0.8091,classification,77.30666666666667
imdb,class_balance,0.5,probe,random_forest,0.6198,classification,77.30666666666667
imdb,class_balance,0.5,probe,mlp,0.815,classification,77.30666666666667
imdb,class_balance,0.5,probe,knn,0.3931,classification,77.30666666666667
imdb,class_balance,0.75,probe,logreg,0.6875,classification,74.04666666666667
imdb,class_balance,0.75,probe,random_forest,0.4339,classification,74.04666666666667
imdb,class_balance,0.75,probe,mlp,0.6809,classification,74.04666666666667
imdb,class_balance,0.75,probe,knn,0.3404,classification,74.04666666666667
imdb,class_balance,0.9,probe,logreg,0.526,classification,73.07333333333334
imdb,class_balance,0.9,probe,random_forest,0.3584,classification,73.07333333333334
imdb,class_balance,0.9,probe,mlp,0.5082,classification,73.07333333333334
imdb,class_balance,0.9,probe,knn,0.3404,classification,73.07333333333334
